City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,bria,6.5423,21.9863,20.48,33,100,2.14,CF,1702352527
141,nar'yan-mar,67.6713,53.087,-14.34,92,100,7.02,RU,1702352527
142,hithadhoo,-0.6,73.0833,27.85,74,58,2.33,MV,1702352527
143,enewetak,11.3474,162.3373,27.85,76,8,8.33,MH,1702352528
144,facaeni,44.5667,27.9,1.88,91,100,3.58,RO,1702352528
145,usinsk,65.9939,57.5281,-18.36,93,100,11.55,RU,1702352528
146,islamkot,24.6997,70.177,21.46,52,31,2.15,PK,1702352528
147,takoradi,4.8845,-1.7554,26.03,85,15,1.54,GH,1702352528
148,mirny,62.5353,113.9611,-29.87,97,98,2.79,RU,1702352528
149,lebu,-37.6167,-73.65,11.93,95,97,5.09,CL,1702352529
150,huarmey,-10.0681,-78.1522,20.44,84,14,3.29,PE,1702352529
151,vila franca do campo,37.7167,-25.4333,13.23,81,56,2.73,PT,1702352529
152,murud,18.3258,72.965,27.04,54,34,2.2,IN,1702352529
153,al hudaydah,14.7978,42.9545,24.57,73,70,5.79,YE,1702352529
154,saudarkrokur,65.7461,-19.6394,-5.79,93,96,2.95,IS,1702352530
155,new norfolk,-42.7826,147.0587,24.28,24,84,2.21,AU,1702352530
156,talnakh,69.4865,88.3972,-25.87,98,100,4.57,RU,1702352530
157,juybar,36.6412,52.9124,10.09,86,100,2.89,IR,1702352530
158,bodaybo,57.8506,114.1933,-26.75,95,100,0.12,RU,1702352531
159,dudinka,69.4058,86.1778,-21.55,97,100,5.66,RU,1702352531
160,unecha,52.8459,32.6739,0.29,99,100,5.32,RU,1702352531
161,ushuaia,-54.8,-68.3,9.81,57,20,2.06,AR,1702352531
162,wailua homesteads,22.0669,-159.378,26.24,86,40,3.6,US,1702352531
163,laguna,38.421,-121.4238,10.73,75,0,0.0,US,1702352531
164,anshun,26.25,105.9333,11.64,83,99,2.86,CN,1702352532
165,bathsheba,13.2167,-59.5167,26.34,83,40,7.2,BB,1702352532
166,muli,2.9167,73.5667,28.21,73,35,2.7,MV,1702352532
167,hasaki,35.7333,140.8333,15.16,90,100,7.14,JP,1702352532
168,ichnya,50.8626,32.3942,0.73,99,100,4.28,UA,1702352532
169,okhotsk,59.3833,143.3,-10.44,93,100,0.34,RU,1702352532
170,cadale,2.7603,46.3222,26.73,81,75,7.33,SO,1702352533
171,fuglafjordur,62.244,-6.814,5.26,83,100,4.67,FO,1702352533
172,ormara,25.2088,64.6357,23.35,26,78,4.0,PK,1702352533
173,brisas barra de suchiate,14.55,-92.2167,25.1,68,71,1.3,MX,1702352534
174,isangel,-19.55,169.2667,28.06,57,75,6.17,VU,1702352270
175,velikiye luki,56.34,30.5452,-0.76,94,100,4.99,RU,1702352490
176,pereiro de aguiar,42.3452,-7.8001,15.14,94,100,2.44,ES,1702352534
177,galle,6.0367,80.217,26.72,82,98,1.41,LK,1702352534
178,cidreira,-30.1811,-50.2056,20.95,82,4,7.43,BR,1702352534
179,jolo,6.05,121.0167,30.2,65,24,0.79,PH,1702352534
180,athens,37.9795,23.7162,13.21,87,70,1.79,GR,1702352382
181,la'ie,21.6477,-157.9253,27.98,78,18,1.79,US,1702352535
182,wiwili,13.6268,-85.8254,22.49,98,55,2.24,NI,1702352535
183,las tablas,7.7667,-80.2833,27.32,99,76,5.57,PA,1702352366
184,yishui,35.7847,118.6281,0.72,70,7,3.07,CN,1702352536
185,percut,3.6253,98.864,27.12,95,100,3.76,ID,1702352536
186,sault ste. marie,46.5168,-84.3333,-0.1,78,100,8.75,CA,1702352536
187,peterhead,57.5058,-1.7981,7.22,77,100,9.4,GB,1702352536
188,kolonia,50.9333,6.95,8.49,77,75,3.09,DE,1702352536
189,avarua,-21.2078,-159.775,26.03,83,75,10.29,CK,1702352537
190,asau,46.4333,26.4,-3.49,72,94,3.19,RO,1702352537
191,mongu,-15.2484,23.1274,20.4,85,99,3.33,ZM,1702352537
192,magadan,59.5667,150.8,-8.53,94,100,4.04,RU,1702352537
193,duong dong,10.2167,103.9667,29.0,79,40,4.12,VN,1702352269
194,vadso,70.0744,29.7487,-9.91,79,40,6.17,NO,1702352538
195,colonia,50.9333,6.95,8.49,77,75,3.09,DE,1702352536
